# 	Time[Myr] 		 Age[Myr] 		 TotalMass[Msun]	 CoreMass[Msun] 	  TruncRadii[pc]	 CoreRadii[pc] 	 ErrCoreRadii	 FitAlpha 	 ErrFitAlpha	 FitSigma0 	  ErrFitSigma0	 FitSigmaBG 	  ErrFitSigmaBG
0.000000000000000000e+00 6.222700000000003229e+01 8.624532898263882089e+03 1.080317273268979932e+02 1.284575045572535545e+00 7.592235744361257310e-02 3.283967178344125021e-02 2.440409526792493455e+00 2.643538692747475216e-01 1.178451002952440467e+04 8.058243863495874393e+03 2.366633772747206876e+01 9.114487796199334246e-01
0.000000000000000000e+00 6.781300000000004502e+01 1.458428318913125622e+03 4.501321971954082528e+02 2.217284163421115561e+00 1.792026457297648812e-01 2.996817177490182851e-02 3.504071846220169206e+00 4.028875502032988609e-01 4.286514296902511887e+03 1.103590769594208496e+03 1.273362571998661652e+00 1.973170380104564692e-01
0.000000000000000000e+00 7.922800000000006548e+01 2.898851349938415296e+03 3.601057577563268097e+01 6.845195539178712263e-01 1.159810911199407185e-01 5.738574210736422998e+01 3.984895616517451611e+00 1.629365522368791730e+01 5.232317292734966941e+03 1.016522089906176738e+07 8.851306068785794068e+00 5.237137745690113588e-01
0.000000000000000000e+00 6.795400000000006457e+01 7.652247352321823200e+03 1.440423031025306386e+02 2.594581677550430968e+07 4.336756647700810152e-01 8.564501030779313462e-01 9.848006835509366397e-01 4.963187387544029106e-01 3.109043580052731386e+02 3.555759650456162149e+02 1.364451492737928189e-05 1.160888102765126284e+01
0.000000000000000000e+00 9.698900000000003274e+01 8.165398057124578372e+03 4.501321971954082812e+01 4.683144083628026366e-01 8.393525742387224209e-02 1.639642201656008602e+00 3.304979444450194759e+00 5.361426354824041951e+00 3.136279387258614406e+03 1.770784156446936831e+05 2.130552633848344968e+01 8.023853600309543976e-01
0.000000000000000000e+00 7.800700000000006185e+01 5.158514979859315645e+03 4.501321971954084944e+01 4.415187208048589884e-01 8.183350842467437825e-02 1.148793213090591347e+00 3.464563055101705036e+00 8.157744303467003633e+00 2.653482706437928755e+03 1.035844549706557736e+05 1.539791750118883940e+01 6.844128187218152526e-01
0.000000000000000000e+00 7.792500000000006821e+01 4.060192418702542454e+03 3.601057577563265966e+01 5.091255907662876057e-01 3.385567463155656626e-02 5.022723930711508160e+02 2.342811926739723383e+00 3.036308364464695586e+01 3.581709229414422225e+03 1.240872681896785647e+08 1.248589896585571957e+01 1.011674639618597160e+00
0.000000000000000000e+00 6.645300000000003138e+01 6.022768798474479809e+03 2.700793183172449829e+01 5.636248302392427023e-01 2.273873219469490017e-02 7.890149121376384755e+01 2.205305003318164037e+00 9.096476280763042155e+00 1.120702542934796111e+04 8.536737067707006633e+07 1.885671138492710952e+01 1.101800205960431933e+00
0.000000000000000000e+00 8.040100000000008151e+01 1.314386015810594472e+03 3.330978259246019775e+02 4.546829312445749594e+01 1.546024124116026077e-01 2.924949126274632022e-02 2.621403069086175819e+00 1.529418266800923187e-01 4.588077104981706725e+03 1.344840986629119470e+03 3.102751849491705224e-03 1.061951262148455588e-01
0.000000000000000000e+00 6.795400000000006457e+01 7.301144238509412389e+03 4.114208282366032108e+03 1.069725414335919567e+01 6.132783640662639257e+00 8.695902196200645529e-01 3.823899483753879558e+00 2.127733098327631023e+00 3.388367464660452555e+01 1.173795284804445771e+01 7.214769152613290437e+00 8.804067289045379496e+00
