# 			 time 				 redshift 				fof_bound_mass 		 fof_field_mass 			fof_bound_lumi 		 fof_field_lumi 			prof_bound_mass 		 profiler_field_mass 			prof_bound_lumi 		 prof_field_lumi 		
3.794613303241919198e+02 1.205074641093467669e+01 4.806411572275494109e+03 9.382755577095553008e+02 6.710940696257865286e+36 6.265030879057007948e+35 4.712383957750228547e+03 1.032303172234819840e+03 6.682691896508708279e+36 6.547518876548578759e+35
3.804754720284692553e+02 1.202761947888164507e+01 4.862428023482006211e+03 8.722561687875562484e+02 4.617309877712673593e+36 4.563536166572739679e+35 4.620356930768028178e+03 1.114327261501533030e+03 4.362835020192572362e+36 7.108284741773752727e+35
3.814839305729847183e+02 1.200464603113568707e+01 4.912442712059222686e+03 8.112382487232803214e+02 3.602707868601799107e+36 4.902316433218706773e+35 4.695378963633880630e+03 1.028301997148621467e+03 3.545332189882111896e+36 5.476073220415585527e+35
3.817014406262129000e+02 1.199970828769222031e+01 4.926446824860860943e+03 7.932329608354647235e+02 3.497055185395170562e+36 4.709518952373612167e+35 4.709383076435520707e+03 1.010296709260806210e+03 3.440726730832741180e+36 5.272803497997906724e+35
3.822243514212049718e+02 1.198785290385958646e+01 5.014472676756895453e+03 6.992053463102072328e+02 3.214467314997776435e+36 4.498572002420799565e+35 4.712383957750194895e+03 1.001294065316906426e+03 3.137527705397554790e+36 5.267968098423018959e+35
3.827466397913989340e+02 1.197603898533253464e+01 4.957455931778828017e+03 7.522209162021143811e+02 3.040352808200639272e+36 4.292343994822074898e+35 4.740392183353483233e+03 9.692846646274585964e+02 2.985936655158466104e+36 4.836505525243802152e+35
3.832780279385787594e+02 1.196410892080139732e+01 4.879433017598224978e+03 8.282432428395511579e+02 2.749429208687914497e+36 4.327097723441742440e+35 4.572342829733802319e+03 1.135333430703974273e+03 2.684786249785801952e+36 4.973527312462870843e+35
3.837889570424861745e+02 1.195260638364482908e+01 5.027476495786903797e+03 6.661956518491995212e+02 2.569169320271565978e+36 3.736093552886225738e+35 4.695378963633849708e+03 9.982931840022542929e+02 2.500944541395750401e+36 4.418341341644377085e+35
3.843228543411638043e+02 1.194057600402175545e+01 4.980462688524376063e+03 7.092082840256642839e+02 2.402842836068948983e+36 3.560431019853623161e+35 4.657367800315222667e+03 1.032303172234817339e+03 2.337031478197393959e+36 4.218544598569174876e+35
3.848338382762930792e+02 1.192913181843106685e+01 4.984463863610480985e+03 6.982050525386547406e+02 2.255458799753373185e+36 3.325991899621505080e+35 4.713384251521691112e+03 9.692846646274449540e+02 2.194308583405308298e+36 3.937494063102156904e+35
3.853372270414658942e+02 1.191789870041856503e+01 4.822416272620159361e+03 8.512499995850976120e+02 2.092488811394204700e+36 3.299831671366419557e+35 4.551336660531367670e+03 1.122329611673888849e+03 2.033414591140739275e+36 3.890573873901074175e+35
3.858432095815065281e+02 1.190662735545704720e+01 4.799409515874582212e+03 8.682549937013624231e+02 1.958573961897933974e+36 3.064748258556377372e+35 4.528329903785793249e+03 1.139334605790152182e+03 1.900711354763837136e+36 3.643374329897347603e+35
3.863748694308631570e+02 1.189480399597840865e+01 4.760398058784370733e+03 9.042655694770058972e+02 1.849363757772678374e+36 2.959278433320226183e+35 4.489318446695578132e+03 1.175345181565798157e+03 1.792426309744432977e+36 3.528652913602679044e+35
3.868911375802326802e+02 1.188333199958732855e+01 4.795408340788424539e+03 8.552511746712773402e+02 1.780755729965596266e+36 2.686599352994803355e+35 4.526329316242724417e+03 1.124330199216977462e+03 1.725369985467175491e+36 3.240456797979011110e+35
3.874163429566992818e+02 1.187168233556551300e+01 4.734390420724138494e+03 9.132682134209040896e+02 1.683757017293796034e+36 2.631755630052290075e+35 4.522328141156523998e+03 1.125330492988518017e+03 1.640233114064961410e+36 3.066994662340635942e+35
3.879384408457665359e+02 1.186012246210581189e+01 4.636361631112762552e+03 1.004294946631545827e+03 1.606332165073072932e+36 2.731225742173731222e+35 4.472313452579323894e+03 1.168343125164985395e+03 1.573045329931467576e+36 3.064094093589787359e+35
3.884535625966740895e+02 1.184879133292584896e+01 4.739391889581922442e+03 8.942626317615531661e+02 1.551313731494741541e+36 2.521544456264569617e+35 4.648365156371294688e+03 9.852893649721809197e+02 1.533158574867010167e+36 2.703096022541882618e+35
3.889724192124821229e+02 1.183741454592207631e+01 4.578344592363053380e+03 1.049308166351069303e+03 1.430901152516451171e+36 2.621716615536205510e+35 4.432301701717433389e+03 1.195351056996689749e+03 1.402709535773865228e+36 2.903632782962067530e+35
3.895062823407441783e+02 1.182566429671410546e+01 4.484316977837854211e+03 1.138334312018621176e+03 1.360952463027441809e+36 2.649908985036856611e+35 4.484316977837854211e+03 1.138334312018621176e+03 1.360952463027441809e+36 2.649908985036856611e+35
3.900528779473346503e+02 1.181366078012203502e+01 4.507323734583344049e+03 1.113326967729974058e+03 1.293083315443712132e+36 2.531707189200836737e+35 4.424299351545079844e+03 1.196351350768238262e+03 1.278283969934777759e+36 2.679700644290180831e+35
3.905585762198519433e+02 1.180262080247955936e+01 4.567341360876089311e+03 1.047307578807986374e+03 1.251430044981813341e+36 2.322629578274113475e+35 4.484316977837825107e+03 1.130331961846251033e+03 1.236766380688055916e+36 2.469266221211689936e+35
3.910760328099223102e+02 1.179134380209023192e+01 4.585346648763849771e+03 1.020299646976249278e+03 1.204570560774115671e+36 2.218080058917808086e+35 4.504322853268677136e+03 1.101323442471421458e+03 1.196151909706787697e+36 2.302266569591086719e+35
3.915875780387637519e+02 1.178021513902468698e+01 4.488318152924006426e+03 1.111326380186889082e+03 1.156428327906419541e+36 2.328442430908662001e+35 4.488318152924006426e+03 1.111326380186889082e+03 1.156428327906419541e+36 2.328442430908662001e+35
3.920927352436658566e+02 1.176927499024187718e+01 4.554337541846053682e+03 1.036304347320999568e+03 1.120091687864980480e+36 2.225866752234381082e+35 4.554337541846053682e+03 1.036304347320999568e+03 1.120091687864980480e+36 2.225866752234381082e+35
3.926127542419735619e+02 1.175798887347849231e+01 4.484316977837832383e+03 1.096321973613710497e+03 1.071311725800197315e+36 2.229950859895804903e+35 4.484316977837832383e+03 1.096321973613710497e+03 1.071311725800197315e+36 2.229950859895804903e+35
3.931228118168083370e+02 1.174693831633242880e+01 4.408294651200425506e+03 1.165342243850349860e+03 1.029551982964213235e+36 2.273270024746417242e+35 3.255956226380164480e+03 2.317680668670612249e+03 9.138848503277577025e+35 3.429941351110970718e+35
3.936247363053157073e+02 1.173609737011811482e+01 4.294261161244252435e+03 1.272373677405704711e+03 9.956304186367373346e+35 2.359824464416623175e+35 4.294261161244252435e+03 1.272373677405704711e+03 9.956304186367373346e+35 2.359824464416623175e+35
3.941554650694019983e+02 1.172470965056084857e+01 4.270254110727126317e+03 1.291379259065055066e+03 9.606128147097112983e+35 2.358897691985796825e+35 3.207942125345956811e+03 2.353691244446223664e+03 8.573647292328737582e+35 3.391378546754171489e+35
3.946848875756695634e+02 1.171337023005345657e+01 4.433301995489067849e+03 1.119328730359266046e+03 9.366877935215245842e+35 2.032903870569113891e+35 3.216944769289901160e+03 2.335685956558433190e+03 8.144693328765379447e+35 3.255088477018982131e+35
3.952176942045393844e+02 1.170191470028754566e+01 4.447306108290599695e+03 1.099322854928333527e+03 9.094909672314002547e+35 1.889662094596959242e+35 4.312266449131979243e+03 1.234362514086954434e+03 8.885454418155609157e+35 2.099117348755350787e+35
3.957416528004378051e+02 1.169070193922957301e+01 4.358279962623088977e+03 1.179346356651967653e+03 8.761587428271655643e+35 1.947310401758192166e+35 4.358279962623088977e+03 1.179346356651967653e+03 8.761587428271655643e+35 1.947310401758192166e+35
3.962426278658711567e+02 1.168001717097829761e+01 4.426299939088210522e+03 1.107325205100711628e+03 8.674118278396525030e+35 1.848724335959073635e+35 4.426299939088210522e+03 1.107325205100711628e+03 8.674118278396525030e+35 1.848724335959073635e+35
3.967437348333450586e+02 1.166934757328665917e+01 4.611354286824080191e+03 9.172693885070893884e+02 8.711398742178438363e+35 1.615477548992031799e+35 4.449306695833732192e+03 1.079316979497436932e+03 8.513337695225812553e+35 1.813538595944659822e+35
3.972540622210735819e+02 1.165850630171152780e+01 4.515326084755712145e+03 1.007295827946168174e+03 8.412235661621808932e+35 1.687213865402085717e+35 4.272254698270191511e+03 1.250367214431688126e+03 8.143118844525081522e+35 1.956330682498812758e+35
3.978137661635807376e+02 1.164668594080527164e+01 4.582345767449301093e+03 9.352746763949132855e+02 8.262098449009753292e+35 1.592298678590349413e+35 4.582345767449301093e+03 9.352746763949132855e+02 8.262098449009753292e+35 1.592298678590349413e+35
3.983438219053134048e+02 1.163544786988325086e+01 4.552336954302915728e+03 9.602820206835421004e+02 8.086066331069702877e+35 1.495709198920177179e+35 4.552336954302915728e+03 9.602820206835421004e+02 8.086066331069702877e+35 1.495709198920177179e+35
3.988945523319395079e+02 1.162379259788211172e+01 4.584346354992399029e+03 9.232711511363703494e+02 7.913789698583739797e+35 1.428266145690935079e+35 3.522034369611223156e+03 1.985583136517545881e+03 6.978638128616780013e+35 2.363417715657893941e+35
3.994138030252806857e+02 1.161286808127053938e+01 4.627358987168752719e+03 8.752570501021743894e+02 7.854041676010501795e+35 1.357037776090416228e+35 3.547041713899783190e+03 1.955574323371144146e+03 6.905227322410703229e+35 2.305852129690213687e+35
3.999281991628391779e+02 1.160208738330161538e+01 4.591348411393161769e+03 9.112676258778151350e+02 7.660647827808485069e+35 1.370935884091148592e+35 3.529036426011998174e+03 1.973579611258978275e+03 6.740448297391031665e+35 2.291135414508600705e+35
4.004993458281748531e+02 1.159013888041186213e+01 4.635361337341122635e+03 8.652541123867223405e+02 7.536789963362709676e+35 1.316174405656716661e+35 4.635361337341122635e+03 8.652541123867223405e+02 7.536789963362709676e+35 1.316174405656716661e+35
4.010998456916300938e+02 1.157754494057382466e+01 4.598350467793939970e+03 9.012646881623537638e+02 7.329878312723040347e+35 1.320673800602059497e+35 4.598350467793939970e+03 9.012646881623537638e+02 7.329878312723040347e+35 1.320673800602059497e+35
4.016080379988237041e+02 1.156694271216463932e+01 4.630359868483481478e+03 8.652541123867389388e+02 7.204839665976565112e+35 1.284431762046426415e+35 4.630359868483481478e+03 8.652541123867389388e+02 7.204839665976565112e+35 1.284431762046426415e+35
4.021352016103963933e+02 1.155596356356305954e+01 4.616355755681827759e+03 8.742567563306429292e+02 7.066588657266754003e+35 1.207367661606128425e+35 3.509030550581116131e+03 1.981581961431354557e+03 6.139961313874275431e+35 2.133995004998605706e+35
4.026533132168158318e+02 1.154519161617364631e+01 4.600351055337067010e+03 8.842596940460898622e+02 6.909458576578004517e+35 1.185158785103032753e+35 4.600351055337067010e+03 8.842596940460898622e+02 6.909458576578004517e+35 1.185158785103032753e+35
4.031638446574676209e+02 1.153463793152280381e+01 4.689377201004639574e+03 7.922326670639235999e+02 6.820941745077078981e+35 1.095000861339831209e+35 4.608353405509466029e+03 8.732564625590978267e+02 6.722258707424192829e+35 1.193683898992717729e+35
4.037503397982739557e+02 1.152252985470605751e+01 4.614355168138767112e+03 8.642538186151953141e+02 6.616575740227244574e+35 1.131828797129077786e+35 4.542334016587501537e+03 9.362749701664615714e+02 6.531248050528824537e+35 1.217156486827498192e+35
4.043090439735789801e+02 1.151096461114310543e+01 4.654366919000498456e+03 8.182403051240937657e+02 6.530939576769621780e+35 1.076967234574004554e+35 4.654366919000498456e+03 8.182403051240937657e+02 6.530939576769621780e+35 1.076967234574004554e+35
4.049065306652769323e+02 1.149864266677800195e+01 4.680374557060722509e+03 7.912323732923771331e+02 6.437682292232358212e+35 1.032580465483005881e+35 4.680374557060722509e+03 7.912323732923771331e+02 6.437682292232358212e+35 1.032580465483005881e+35
4.055002706037382723e+02 1.148647615838931735e+01 4.831418916564116444e+03 6.381874262459434703e+02 6.490679456687741762e+35 8.708063379557690664e+34 4.831418916564116444e+03 6.381874262459434703e+02 6.490679456687741762e+35 8.708063379557690664e+34
4.061505765884852508e+02 1.147317768756260925e+01 5.028476789558451856e+03 4.381286719368612808e+02 6.675941268436522661e+35 5.327109852989155925e+34 5.028476789558451856e+03 4.381286719368612808e+02 6.675941268436522661e+35 5.327109852989155925e+34
4.066786463928434614e+02 1.146237463053926753e+01 4.987464744925138803e+03 4.751395414840434341e+02 6.490859384250210291e+35 5.364591517666585187e+34 4.987464744925138803e+03 4.751395414840434341e+02 6.490859384250210291e+35 5.364591517666585187e+34
4.072712961762144346e+02 1.145028861577837631e+01 5.033478258416204881e+03 4.281257342214101413e+02 6.358958568785121212e+35 4.580016179675916418e+34 5.033478258416204881e+03 4.281257342214101413e+02 6.358958568785121212e+35 4.580016179675916418e+34
4.077964290649994155e+02 1.143959905675949607e+01 5.054484427618717746e+03 4.021180961612357692e+02 6.299085076118627685e+35 4.466942409648645911e+34 5.054484427618717746e+03 4.021180961612357692e+02 6.299085076118627685e+35 4.466942409648645911e+34
4.084178128575262008e+02 1.142697390929457057e+01 4.923445943546212220e+03 5.291554051474901144e+02 6.130057594700874162e+35 5.367844395916614844e+34 3.744099586894243203e+03 1.708501761799457881e+03 5.272484206672737729e+35 1.394357827619796626e+35
