# snap_num	t[myr]	redshift	mvir[msun]	rvir[pc]	m_star[msun]
7.300000000000000000e+02 4.965669954159066037e+02 9.909934071526375732e+00 1.380453606506680548e+08 2.648066669949446350e+03 3.056487645396300359e+05
7.340000000000000000e+02 4.973948255456676861e+02 9.897867209995453663e+00 1.373616792020858228e+08 2.931890847395630772e+03 3.057848044925577706e+05
7.380000000000000000e+02 4.982334289809334678e+02 9.885670307333198181e+00 1.400639280457459688e+08 2.857167813972793283e+03 3.059388497333734413e+05
7.420000000000000000e+02 4.990857538457314035e+02 9.873233385637027126e+00 1.410906993321062624e+08 2.843411394370424659e+03 3.060408796980741899e+05
7.460000000000000000e+02 4.999316953331306195e+02 9.860978512688268083e+00 1.382993470597013235e+08 2.856324827913239915e+03 3.058188144807904027e+05
7.500000000000000000e+02 5.007702460061278202e+02 9.848857940768313668e+00 1.392403458866168261e+08 2.853114091088665191e+03 3.055747428005356342e+05
7.540000000000000000e+02 5.016340674273521927e+02 9.836403117183760259e+00 1.402929321850416362e+08 2.843583561885082872e+03 3.090167536684236838e+05
7.580000000000000000e+02 5.025088037204027955e+02 9.823856196627312798e+00 1.388131490740432143e+08 2.531790402961024029e+03 3.095239026105944067e+05
7.620000000000000000e+02 5.033926731364580860e+02 9.811161461438111075e+00 1.375948470530016720e+08 2.524364150742076617e+03 3.113354346308609238e+05
7.660000000000000000e+02 5.042757430065320250e+02 9.798520132144785677e+00 1.389097471837088764e+08 2.509676469941963660e+03 3.111153700011234032e+05
7.700000000000000000e+02 5.051604191198263152e+02 9.785958059995373048e+00 1.387415332341183424e+08 2.538869329889473192e+03 3.108983062526969006e+05
7.740000000000000000e+02 5.060181781609214795e+02 9.773777589576807756e+00 1.395193145653914511e+08 2.521518023467234343e+03 3.106832430918159080e+05
7.780000000000000000e+02 5.068748585044219226e+02 9.761596019410974989e+00 1.425238488729187250e+08 2.704990407130475432e+03 3.104521752305861446e+05
7.820000000000000000e+02 5.077164225292164588e+02 9.749720659139709866e+00 1.397674717781530917e+08 2.704567712558899075e+03 3.102751232330254861e+05
7.860000000000000000e+02 5.085821841342026914e+02 9.737531164350020418e+00 1.420600113980606198e+08 2.446921415551933478e+03 3.100590597783722333e+05
7.900000000000000000e+02 5.094134637166812354e+02 9.725864966513938725e+00 1.428869245264914632e+08 2.515413959241536759e+03 3.141102495531323948e+05
7.940000000000000000e+02 5.102541863213587590e+02 9.714076452176827914e+00 1.407417802980544567e+08 2.414127443284673973e+03 3.153796223492188146e+05
7.980000000000000000e+02 5.110991136031071278e+02 9.702252621151503220e+00 1.428019848093715906e+08 2.543498773825602257e+03 3.155796811035320861e+05
8.020000000000000000e+02 5.119571911366028303e+02 9.690278143403327604e+00 1.444491491276337802e+08 2.364569897257963021e+03 3.163529081889361842e+05
8.060000000000000000e+02 5.128281370665366694e+02 9.678226570253297467e+00 1.426221124672352970e+08 2.372089196332779920e+03 3.161268417965666158e+05
8.100000000000000000e+02 5.136781442433727989e+02 9.666438764906599701e+00 1.428502838642016947e+08 2.360839316662564670e+03 3.158877715851624380e+05
8.140000000000000000e+02 5.145544144910846853e+02 9.654284734560675929e+00 1.442909280859401822e+08 2.509626381948714425e+03 3.199719710543869878e+05
8.180000000000000000e+02 5.153768699930093362e+02 9.642974201870469386e+00 1.434398654300926328e+08 2.500609419733157210e+03 3.197879170004201587e+05
8.220000000000000000e+02 5.162556507418831870e+02 9.630915583413399261e+00 1.438703932119635940e+08 2.478897281441232280e+03 3.195518476703343913e+05
8.260000000000000000e+02 5.171075884075917202e+02 9.619231574498222415e+00 1.404902921159937382e+08 2.329061396658886679e+03 3.212703523698486970e+05
8.300000000000000000e+02 5.180111693065699683e+02 9.606880369194177760e+00 1.411398311292628646e+08 2.324822014648088953e+03 3.210562895027396735e+05
8.340000000000000000e+02 5.188740432628652570e+02 9.595114219707696179e+00 1.406635025195321143e+08 2.280602424773826897e+03 3.208282225228259922e+05
8.380000000000000000e+02 5.197333059580960253e+02 9.583423225347219798e+00 1.501900747141358256e+08 2.830147183600650806e+03 3.206141596557179582e+05
8.420000000000000000e+02 5.206105759682986900e+02 9.571590268601747553e+00 1.428952519497356415e+08 2.396152556083482068e+03 3.203650865065994440e+05
8.460000000000000000e+02 5.214549115823658667e+02 9.560155313603248217e+00 1.433640858785455525e+08 2.375787787214272157e+03 3.201080110073169926e+05
8.500000000000000000e+02 5.222976586799148890e+02 9.548758886054091732e+00 1.504032567492596507e+08 2.994048144865113954e+03 3.227617903832257725e+05
8.540000000000000000e+02 5.231618904471363294e+02 9.537162989430026272e+00 1.507738270837529004e+08 2.975044062171100450e+03 3.285474895578449359e+05
8.580000000000000000e+02 5.240188653665536549e+02 9.525703204217768061e+00 1.505314990672648251e+08 2.956840256030520322e+03 3.283334266907353885e+05
8.620000000000000000e+02 5.248977212923870184e+02 9.513937152541446451e+00 1.505056840551979840e+08 2.954121250487418365e+03 3.287385456682089716e+05
8.660000000000000000e+02 5.257527855794630796e+02 9.502526341684689015e+00 1.480182827313087583e+08 2.944489860673529620e+03 3.306411044216852752e+05
8.700000000000000000e+02 5.266237637833277176e+02 9.490950649001328898e+00 1.505623105332776904e+08 2.916791450898133007e+03 3.333258929045157856e+05
8.740000000000000000e+02 5.275172045742093587e+02 9.479102901125324721e+00 1.521520156311362982e+08 2.899383256848954716e+03 3.331758488387851394e+05
8.780000000000000000e+02 5.283844767148176516e+02 9.467671390549996957e+00 1.495971621789450943e+08 2.907460347857008855e+03 3.330568138799658045e+05
8.820000000000000000e+02 5.292250807586813153e+02 9.456568013412272933e+00 1.523152331267765164e+08 2.870436393018907438e+03 3.330988262183726765e+05
8.860000000000000000e+02 5.301120637236451785e+02 9.444877538145929563e+00 1.535043891664541960e+08 2.856029802720441694e+03 3.329667874405326438e+05
8.900000000000000000e+02 5.309446792352191551e+02 9.433961942577104409e+00 1.553147709803560674e+08 2.826150041179019354e+03 3.328427510128559661e+05
8.940000000000000000e+02 5.318170166872470190e+02 9.422592209699569565e+00 1.546910469791536331e+08 2.875006378553505783e+03 3.327127128225549823e+05
8.980000000000000000e+02 5.327253961803705806e+02 9.410727711188359379e+00 1.553272621152291298e+08 2.878370943537710446e+03 3.333969137622973067e+05
9.020000000000000000e+02 5.336353524967950079e+02 9.398864078022729274e+00 1.563573643708870411e+08 3.109680391663684532e+03 3.337730242203990929e+05
9.060000000000000000e+02 5.344736591448213403e+02 9.388006270532720521e+00 1.536351297114301622e+08 3.103839272952600822e+03 3.336809971934107598e+05
9.100000000000000000e+02 5.353265049772104476e+02 9.376983393093127006e+00 1.543188111600136161e+08 2.855460161534211693e+03 3.338530477221215842e+05
9.140000000000000000e+02 5.361930728310746872e+02 9.365807003721599244e+00 1.516140640893779695e+08 2.857937876151313048e+03 3.337800262767979875e+05
9.180000000000000000e+02 5.370387833514290605e+02 9.354918376296128102e+00 1.523768560588055849e+08 2.842320744607894994e+03 3.337100057127890759e+05
