# 	Time[Myr] 		 Age[Myr] 		 TotalMass[Msun]	 CoreMass[Msun] 	  TruncRadii[pc]	 CoreRadii[pc] 	 ErrCoreRadii	 FitAlpha 	 ErrFitAlpha	 FitSigma0 	  ErrFitSigma0	 FitSigmaBG 	  ErrFitSigmaBG
0.000000000000000000e+00 8.293899999999996453e+01 1.045206961887719626e+04 3.601057577563255307e+01 5.719485941221453817e-01 1.236583493047249405e-01 1.947352056116374186e+01 3.967062272446900018e+00 1.211404079692520241e+01 6.291613142738061470e+03 3.797980577160450164e+06 2.885153130113385700e+01 9.480907812387563416e-01
0.000000000000000000e+00 7.161599999999998545e+01 1.782523500893813662e+03 2.610766743733360045e+02 8.382595298298269881e+00 1.915284983337967040e-01 6.637758107841061628e-02 2.126650485502864285e+00 1.900688398654660494e-01 1.768615633106199311e+03 7.862054396797241225e+02 1.143881336370166757e+00 4.171843547167164989e-01
0.000000000000000000e+00 6.679099999999999682e+01 3.583052289675413704e+03 3.601057577563256729e+01 5.445529705398248765e-01 8.435060502071227428e-02 1.333132358695669151e+00 3.371123944404676553e+00 7.518790773864073351e+00 2.601661779928545457e+03 1.107002296892519371e+05 9.661073364002747965e+00 5.560554525852509089e-01
0.000000000000000000e+00 6.156299999999998818e+01 1.009196386112087566e+04 3.601057577563255307e+01 4.839199313710751404e-01 9.312415494114506531e-02 3.241757795431033884e+01 3.519189749229634678e+00 1.364431649981343142e+01 4.873770301990631197e+03 5.840130994997985661e+06 2.943460660799962270e+01 9.601434162640820613e-01
0.000000000000000000e+00 6.166499999999996362e+01 5.806705343820683083e+03 3.601057577563255307e+01 5.064668633215475557e-01 1.869015863231911906e-02 7.513393258406401287e+01 3.022022802852756040e+00 7.514425756086065000e+00 1.939673479858510836e+05 2.351841918765392303e+09 1.812870868693535442e+01 7.597359750114940358e-01
0.000000000000000000e+00 6.704599999999999227e+01 2.466724440630825484e+03 6.301850760735698742e+01 1.457196573915866766e+00 9.775216815861839659e-02 5.899037207795317095e-02 2.533265577682246583e+00 4.628253975969230938e-01 3.101919426004164052e+03 3.132957211300298695e+03 6.602146756207830869e+00 4.883324135697852952e-01
0.000000000000000000e+00 7.400999999999999091e+01 1.350396591586220438e+03 3.150925380367847879e+02 1.330800989326242423e+01 1.428672870522142702e-01 2.683539461291443995e-02 2.603935321785328494e+00 1.517577799113952186e-01 5.468434490402668416e+03 1.585483485641846300e+03 8.152139250034999562e-02 1.285181325158218368e-01
0.000000000000000000e+00 5.715400000000000347e+01 5.365575790569191668e+03 2.700793183172440948e+01 5.508580152741892055e-01 1.038375991504043999e-01 2.820827138427357283e+01 3.839120407966840176e+00 1.332648600016479179e+01 4.991978775387748101e+03 5.087634375209498219e+06 1.646012108415976982e+01 7.059484220025825651e-01
0.000000000000000000e+00 6.294899999999995543e+01 5.932742359035395566e+03 2.700793183172441303e+01 6.013907079414377854e-01 6.582401284080172110e-02 6.184556011533842934e+00 2.666254064561163428e+00 4.950028210900994097e+00 3.162848875612654865e+03 7.595624401709304657e+05 1.730833481381286632e+01 8.083434323550942047e-01
0.000000000000000000e+00 6.006199999999995498e+01 3.303970327414266649e+03 2.700793183172441303e+01 7.628470097165768182e-01 7.289989513759145834e-02 1.221527064532848073e+01 2.833684026009896328e+00 7.645709375778836581e+00 3.890253744511657260e+03 1.771379223447917262e+06 1.002099230810002517e+01 6.500152524704547741e-01
0.000000000000000000e+00 6.893300000000000693e+01 1.701499705398639890e+03 1.620475909903464640e+02 3.775924581967493587e+00 2.162701469417765976e-01 6.206621978222677527e-02 2.518207017789946711e+00 2.933061414671249700e-01 1.349602624933900188e+03 5.233001263198793822e+02 2.010165969252989182e+00 3.193274533832946016e-01
0.000000000000000000e+00 5.583599999999995589e+01 4.762398646327357710e+03 2.700793183172439882e+01 6.003457507707645746e-01 1.008034192364935383e-01 8.866742452923720919e+01 3.847813514134303503e+00 1.878206742049055578e+01 6.032963014903729345e+03 2.020532493093246222e+07 1.257003726791202958e+01 6.263370453657501891e-01
0.000000000000000000e+00 7.148999999999995225e+01 3.060898940928752381e+03 2.700793183172439882e+01 8.956368246649623055e-01 7.938897692453529553e-02 2.723900248854942419e-01 2.451678868655574828e+00 1.762153030012012511e+00 1.789506395432589898e+03 9.230408076128123867e+03 9.387395054830014018e+00 6.032431934442333832e-01
0.000000000000000000e+00 5.583599999999995589e+01 2.295674205696574063e+03 2.700793183172440592e+01 6.215512022326711294e-01 9.733782122338668907e-02 1.137372008268385457e+02 3.893639936559441850e+00 5.126742319903079448e+01 4.757377592293561065e+03 2.106251834474001452e+07 6.965287363837131096e+00 4.780593682109352538e-01
0.000000000000000000e+00 6.893300000000000693e+01 1.890555228220711570e+03 3.601057577563253886e+01 3.067299765651748444e+00 7.289473718018239790e-02 7.486196072217222997e-02 2.076763963943328406e+00 3.098157150152304196e-01 3.468928790075740380e+03 5.546038243466005952e+03 2.939354475298652236e+00 3.928699191097765886e-01
0.000000000000000000e+00 6.740699999999998226e+01 3.997173911095180301e+03 4.501321971954069454e+02 2.954619717955042191e+00 7.105896346493826288e-01 1.409011868744274310e-01 2.951866536498802152e+00 4.966992375068625121e-01 3.014906675353699370e+02 7.538377092724003603e+01 8.851606154440563756e+00 6.695780582065792297e-01
0.000000000000000000e+00 1.625840000000000032e+02 9.812881898859844796e+02 3.601057577563253886e+01 1.273744538061964526e+00 1.411938134195343808e-01 9.961986355680736551e+02 3.941970634792806738e+00 2.720818486671672076e+01 8.768662229818193737e+03 2.432985728255414963e+08 3.007846683656359321e+00 3.656393051407113570e-01
0.000000000000000000e+00 6.676399999999995316e+01 1.305383371866680363e+03 3.601057577563256729e+01 1.312119767289949612e+00 2.277223491547039624e-02 1.989516705554916598e+01 2.393791963752902152e+00 3.497860880877237122e+00 3.093191437751833291e+04 6.428798192000778764e+07 3.775523546358696247e+00 4.791527271092694829e-01
0.000000000000000000e+00 7.299899999999996680e+01 1.530449470464385286e+03 2.700793183172441303e+01 9.694351174259477899e-01 1.058634950313996070e-01 1.654086519700299505e+02 3.453828304235422753e+00 1.872645378511387548e+01 4.917539569474023665e+03 2.630806689604757354e+07 4.685692113299253947e+00 4.274619998850970881e-01
0.000000000000000000e+00 7.163700000000000045e+01 1.746512925118181556e+03 2.700793183172441303e+01 1.451752528351520022e+00 1.705553329174415433e-01 5.343236003597472745e+02 3.823601239454936795e+00 1.576167275878235152e+01 8.800418437225474918e+03 1.050977053074303567e+08 4.890566160362876502e+00 4.839051989873787152e-01
0.000000000000000000e+00 5.583599999999995589e+01 3.772107812497481063e+03 2.700793183172441303e+01 5.653665232584095257e-01 9.741200658879896335e-02 8.780963147542287572e+00 3.810554957235116724e+00 8.458707064762426953e+00 4.668527433831489361e+03 1.541917601558143040e+06 1.146801587017274571e+01 5.863516950383910187e-01
0.000000000000000000e+00 5.583599999999995589e+01 1.557457402296108967e+03 2.700793183172440948e+01 1.505627134069499329e+00 1.188862386613798033e-01 2.285350435627302375e+02 3.063885980658886954e+00 1.347166945004884475e+01 5.607110971004198291e+03 3.280905636629527435e+07 4.692346474960430669e+00 6.177447658961293664e-01
0.000000000000000000e+00 5.715400000000000347e+01 4.654366919000462076e+03 3.601057577563255307e+01 4.493003252007597426e-01 8.051886801949226236e-02 1.557051278191997845e+01 3.695014805440699934e+00 7.420698664029941938e+01 2.206930010021295857e+03 1.186286243077200372e+06 7.677504092346718600e+00 4.982277886566158220e-01
