# 	Time[Myr] 		 Age[Myr] 		 TotalMass[Msun]	 CoreMass[Msun] 	  TruncRadii[pc]	 CoreRadii[pc] 	 ErrCoreRadii	 FitAlpha 	 ErrFitAlpha	 FitSigma0 	  ErrFitSigma0	 FitSigmaBG 	  ErrFitSigmaBG
0.000000000000000000e+00 1.179699999999996862e+01 3.850130726678121391e+03 2.820828435757920261e+02 5.610162606170506550e+00 1.227194925064162140e-01 3.706191140978911530e-02 2.046077918425109665e+00 1.357594030762696025e-01 5.707273506324462687e+03 2.253396674310394701e+03 4.577922900204735690e+00 6.814192028349591590e-01
0.000000000000000000e+00 1.887200000000001410e+01 6.636949174203416987e+03 7.642244414606561804e+02 4.251074734996732829e+00 2.966218318298988743e-01 4.486448586047465936e-02 2.406978098225201812e+00 1.472435772791475250e-01 3.008574143810987607e+03 5.983504605354283967e+02 9.896863007542661350e+00 8.506704981738266724e-01
0.000000000000000000e+00 2.645099999999996498e+01 1.688495886368562878e+03 3.130919504936981639e+02 1.080705223020715700e+01 1.091849954445030385e-01 3.116239677847001954e-02 2.209148402586257109e+00 1.486100956999814593e-01 5.566834522257756362e+03 2.202979617319533645e+03 4.346782108036575387e-01 2.514986537079058615e-01
0.000000000000000000e+00 1.890999999999996817e+01 4.104205344650645202e+03 3.761104581010562242e+02 3.290622411669933634e+00 1.796992349822867652e-01 4.106711050985143580e-02 2.448990141432303425e+00 1.978087111110654606e-01 3.861183537481182157e+03 1.213215339980978570e+03 6.237086245353629543e+00 5.971289256305145621e-01
0.000000000000000000e+00 2.974599999999998090e+01 4.486317565380963970e+03 5.401586366344952239e+01 1.093719321779426101e+00 1.794513303107319879e-01 1.740453406939101444e-01 2.679435687338599603e+00 1.260350596392879607e+00 8.852182715059478824e+02 1.126539455409673565e+03 1.384911654680434090e+01 7.204775690151672407e-01
0.000000000000000000e+00 2.997100000000000364e+01 2.423711808454414495e+03 3.601057577563303198e+02 4.003754530828437019e+00 1.303090631012475131e-01 2.874997829523977255e-02 2.421444978526023473e+00 1.709381461925442713e-01 5.865902177114041478e+03 1.825365857592271368e+03 2.933419574555568676e+00 3.925298053487826233e-01
0.000000000000000000e+00 2.489400000000000546e+01 1.492438307145676390e+03 2.800822560327012525e+02 9.436763047648078384e+00 2.130949811184731368e-01 5.753875892870637804e-02 2.525107237531893478e+00 2.451318644029522320e-01 1.926066823779080551e+03 7.249408255957894198e+02 2.683574967438911441e-01 2.576464751901075267e-01
0.000000000000000000e+00 1.014639999999999986e+02 1.224359576371517733e+03 2.520740304294311045e+02 6.295480539971867628e+00 9.474100085240598490e-02 2.054330220986870514e-02 2.611784971910467767e+00 1.620136389480534567e-01 9.878367144319885483e+03 3.445305947580586235e+03 3.433627838513871877e-01 1.375525223808493624e-01
0.000000000000000000e+00 2.131399999999996098e+01 2.217651291516063793e+03 3.601057577563301493e+01 6.204768771451276699e-01 1.648132626951058846e-02 2.217455284759687402e+02 3.049509307040448203e+00 2.832125631439602742e+01 2.165708096566678723e+05 8.860296313267749786e+09 6.782804659921680468e+00 5.245818187676949407e-01
0.000000000000000000e+00 3.179199999999997317e+01 2.152632196365617347e+03 6.391877200174865266e+02 6.521931425165267804e+00 4.772016914044701075e-01 8.205919143977863373e-02 2.678421212586546307e+00 2.459610850041215324e-01 7.229135814789862025e+02 1.672515124433275844e+02 1.311922306506204894e+00 3.605160237914880050e-01
0.000000000000000000e+00 6.689900000000000091e+01 1.110326086415351341e+02 5.401586366344956502e+01 3.981770744691475628e+00 9.083841833864680915e-02 5.641396407040335180e+04 2.908492209070187684e+00 9.069325754712245669e+01 9.817846011486157295e+03 1.773020022833605957e+10 3.295011723992369856e-01 8.842394109582771833e-01
0.000000000000000000e+00 2.895999999999998309e+01 4.840421560508011680e+03 3.801116331872375298e+01 5.846971433760915771e-01 9.023582919675744718e-02 2.352649488060380989e+01 3.834864965381255431e+00 2.674620373580530241e+01 4.338656367141360533e+03 4.111477283379587810e+06 6.696652813281520622e+00 4.727459498660924186e-01
0.000000000000000000e+00 2.974599999999998090e+01 3.792113687928491345e+03 2.800822560327013377e+01 6.089570277834724932e-01 1.116719217125407976e-01 6.986207010620499886e+02 3.999250152851030471e+00 5.931474557805582748e+01 5.298348287421014902e+03 1.318722983840648383e+08 1.198562660014924397e+01 6.360659878235300768e-01
0.000000000000000000e+00 2.028300000000001546e+01 1.047307578807995014e+03 3.801116331872376719e+01 1.220429747871306647e+00 2.530222534762515546e-02 2.188535799921202170e+02 2.973454029975128421e+00 4.544829398641078377e+00 1.625751462468701939e+05 4.178770082185188770e+09 3.211470441886781657e+00 3.631933698872195082e-01
0.000000000000000000e+00 2.855199999999996407e+01 1.449425674969228567e+03 2.860840186619735164e+02 6.282850420191233631e+00 1.788974246078137431e-01 4.851486797221018360e-02 2.480457635455074250e+00 2.195760350006040196e-01 2.517607232915329860e+03 9.628099892954296593e+02 7.383741030547467110e-01 2.276904219091176462e-01
0.000000000000000000e+00 1.887200000000001410e+01 2.078610457271256109e+03 2.700793183172476830e+01 8.699933586800390195e-01 1.184475313788386081e-01 1.125653461028690714e+02 3.943009326946451232e+00 2.245692383291967076e+01 5.694968962614761040e+03 2.106566316397917271e+07 4.382761786356471845e+00 4.084354920102318265e-01
0.000000000000000000e+00 2.010399999999998499e+01 1.085318742126718007e+03 3.901145709026913266e+01 1.141716359959075611e+00 9.125486277784937428e-02 3.855418189348952637e+03 3.319855178368378734e+00 4.682596271915311803e+01 7.524487380498569109e+03 1.054287492882621050e+09 3.423920526477308712e+00 4.797680439177283707e-01
0.000000000000000000e+00 1.602299999999996771e+01 3.345982665819250087e+03 2.700793183172476120e+01 5.516070049742066717e-01 8.669694340002678801e-02 3.070331089257426260e+00 3.475058453738452346e+00 8.298335652919343275e+00 3.044524762852174717e+03 3.314228467955968226e+05 9.799473189198959489e+00 5.641718145107342819e-01
0.000000000000000000e+00 2.293299999999999272e+01 1.804529963867828201e+03 2.900851937481549569e+01 9.184017052884732024e-01 9.736216074862837078e-02 8.151333977854027069e+01 3.469410309689270111e+00 1.545453043171036001e+01 6.251185823967800388e+03 1.792684674551657960e+07 5.192509911365807085e+00 4.645967158166001698e-01
0.000000000000000000e+00 1.539600000000001501e+01 1.187348706824344845e+03 4.001175086181447682e+01 1.676011515183286837e+00 1.038885561184370809e+00 3.337316093022022923e+00 3.624932078821704540e+00 1.199042621858530921e+01 1.224171485714474628e+01 4.637542380120072494e+01 3.675358915453059261e+00 4.684237202209306505e-01
0.000000000000000000e+00 1.539600000000001501e+01 9.902908338299091611e+02 2.900851937481549569e+01 1.207112599633670458e+00 1.202399917078045416e-01 1.625291544652829501e+01 3.602279031792137598e+00 5.529081599813933323e+00 5.561570976142159452e+03 2.649525618380402215e+06 2.739818194689796815e+00 3.200092617226795721e-01
0.000000000000000000e+00 1.738299999999998136e+01 2.791819916383112741e+03 2.700793183172477185e+01 4.514929666568780142e+00 2.785649881850114570e-02 2.677966302912564700e+01 1.599463558863517099e+00 3.407514030439758201e+00 5.317217395184065936e+03 8.092916603996426798e+06 3.106088311033943672e+00 2.434845527301906287e+00
0.000000000000000000e+00 2.121600000000000819e+01 7.002056400817534723e+02 3.701086954717837330e+01 2.025863782065549845e+00 5.663270817345003594e-02 6.953513777627088075e+02 2.374326013309496108e+00 1.665675752396434106e+01 4.733521120675908605e+03 1.376865453029189706e+08 1.938688459983120671e+00 7.895146563326089773e-01
0.000000000000000000e+00 2.121600000000000819e+01 4.871430667425913157e+02 6.601938892199386544e+01 4.053931132085049960e+00 1.137386723748626816e+00 2.015630991013470208e+00 3.121762335273481348e+00 4.641947130802661192e+00 3.070950045378397419e+01 4.088247379040236495e+01 1.140380363376674699e+00 4.697212480587049654e-01
